T,TM,Tm,SLP,H,VV,V,VM,PM2.5,SO2,NO2,PM10,Class,NumClass
34.4,39.5,25.5,998.1,55,2.7,3.7,9.4,50,3.8,8.6,19,Satisfactory,2
35.2,41.1,27.7,999.3,55,1.9,6.3,11.1,56,3,12.5,30,Satisfactory,2
33.8,39.6,27.4,999,57,2.3,7.8,14.8,56,3.8,12.5,32,Satisfactory,2
33.7,40.3,26.2,995.7,61,1.9,10,14.8,33,2.8,8.1,14,Satisfactory,2
33.4,39,25.3,993,62,2.6,8.9,14.8,45,4.3,10,23,Satisfactory,2
34.3,42,27.8,996.1,54,1.9,3.1,9.4,58,3,11.5,28,Satisfactory,2
34.2,41,22.4,997.1,46,1.9,1.5,5.4,33,4.2,10.1,16,Satisfactory,2
29.4,31.7,27.4,998.1,69,1.6,3.1,14.8,43,5.2,11.5,22,Satisfactory,2
27.2,31.1,21.3,998.9,79,1.9,6.9,14.8,56,5.5,8.3,29,Satisfactory,2
30.3,36.4,22.3,999.1,69,2.6,4.1,7.6,34,4.3,7,15,Satisfactory,2
35.7,43.4,26.7,997.2,28,1.9,7.4,16.5,47,4.5,13,21,Satisfactory,2
31.8,41,24.2,1001.8,47,1.9,10.4,33.5,54,5.2,14.8,19,Satisfactory,2
16,22.2,14,1010.9,95,1.6,6.9,16.5,1.8,4,36,76,Satisfactory,2
33.8,41.2,26.4,998.8,33,1.9,8,20.6,12.9,4,29,64,Satisfactory,2
29.2,33.6,25.4,999.6,77,1.9,7.2,18.3,41.43,4,35,75,Satisfactory,2
27.7,34.5,24.6,1002.9,88,1.9,3.7,9.4,14.39,4,32,87,Satisfactory,2
28.9,34.2,26.1,999.1,83,1.9,5.4,14.8,9.63,4,29,60,Satisfactory,2
27.2,34.2,25.1,1003.1,95,1.6,4.3,7.6,18.02,4,32,87,Satisfactory,2
29.9,34.1,25.7,1003.4,81,1.8,2.2,5.4,14.4,2,59,99,Satisfactory,2
28,36.2,25.6,1001.2,86,1.9,3.1,9.4,10.44,2,32,86,Satisfactory,2
29.3,33.6,25.4,1004.9,76,3.1,7.8,18.3,15.83,4,41,73,Satisfactory,2
28.9,33.7,25,1003.6,75,2.3,8.5,18.3,21.72,4,40,99,Satisfactory,2
28.9,34.1,24.8,1003.4,69,2.6,12.6,25.9,25.91,4,41,55,Satisfactory,2
28.6,33.9,24.5,1005.7,65,2.7,13.9,25.9,35.78,4,43,47,Satisfactory,2
28.2,34.7,23.3,1010.4,70,2.6,3.9,11.1,49.06,4,43,88,Satisfactory,2
