"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2017.498973",75.8940669890049,26.6683517209036,156.266121559307,11.6809248351697,212.700171061803
"2017.499002",75.5093398380485,26.398453523601,155.847981986317,11.4939099340331,212.30534140265
"2017.499030",75.1434165688797,26.1421905534666,155.450559426294,11.3168676014775,211.930624203382
"2017.499059",74.7953340754079,25.898752694669,155.07298220201,11.1491474484808,211.575311559667
"2017.499087",74.4641823869594,25.6673849933738,154.714409830752,10.9901483476613,211.238706122315
"2017.499116",74.1491014204943,25.4473832914245,154.374032615783,10.8393141125555,210.920122946881
"2017.499144",73.849277956028,25.2380902581776,154.051071131153,10.6961296076476,210.618890995958
"2017.499173",73.5639428181393,25.0388917794846,153.744775621022,10.560117241311,210.334354341516
"2017.499201",73.2923682478801,24.8492136675093,153.45442533143,10.4308337996597,210.065873108429
"2017.499230",73.0338654507042,24.6685186591716,153.179327789737,10.3078675843749,209.81282419498
"2017.499258",72.7877823072208,24.4963036745996,152.918818044618,10.190835821967,209.574601801501
"2017.499287",72.5535012346631,24.3320973101235,152.672257877508,10.0793823157603,209.350617794254
"2017.499316",72.3304371879498,24.175457543114,152.439034994683,9.97317531522492,209.140301928198
"2017.499344",72.118035790121,24.0259696284059,152.218562207737,9.87190558019189,208.943101949222
"2017.499373",71.9157715827507,23.8832441681996,152.01027660892,9.77528462003898,208.758483593789
"2017.499401",71.7231463876962,23.746915339232,151.813638746779,9.68304309016885,208.585930501639
"2017.499430",71.5396877722253,23.6166392626917,151.628131806615,9.59492933006258,208.424944055157
"2017.499458",71.3649476101972,23.492092503842,151.453260799481,9.51070802891757,208.275043157305
"2017.499487",71.1985007325452,23.3729706896392,151.288551762779,9.43015900639753,208.135763958434
"2017.499515",71.039943660836,23.258987233809,151.133550974969,9.35307609736266,208.006659540981
"2017.499544",70.8888934181626,23.1498721598908,150.987824186355,9.27926613063191,207.887299569876
"2017.499572",70.7449864120697,23.0453710136908,150.850955867562,9.2085479928755,207.777269915442
"2017.499601",70.6078773846153,22.9452438574206,150.722548476917,9.14075176966412,207.676172254702
"2017.499629",70.4772384250422,22.8492643385372,150.602221747652,9.07571795652271,207.583623656172
"2017.499658",70.3527580408747,22.7572188269699,150.48961199561,9.01329673356767,207.499256152584
"2017.499686",70.2341402835674,22.6689056150119,150.384371447871,8.95334729795512,207.422716305324
"2017.499715",70.1211039251216,22.5841341746927,150.286167592599,8.8957372489463,207.353664763879
"2017.499743",70.0133816823454,22.5027244679221,150.194682550173,8.84034202091103,207.29177582309
"2017.499772",69.9107194856799,22.4245063051328,150.109612465596,8.78704436004993,207.236736980634
"2017.499800",69.8128757897335,22.3493187485325,150.030666922053,8.73573384102649,207.188248496764
"2017.499829",69.7196209228738,22.2770095564271,149.957568375363,8.68630642006766,207.146022958041
"2017.499857",69.6307364734143,22.2074346653925,149.890051609052,8.63866402141964,207.109784846535
